Time (s)	Channel 1 (V)	DIO  0	DIO  1	DIO  2	DIO  3
-1.144e-05	2.761579326329533	0	1	1	0
-1.143e-05	2.761579326329533	0	1	1	0
-1.142e-05	2.761579326329533	0	1	1	0
-1.141e-05	2.761579326329533	0	1	1	0
-1.14e-05	2.761579326329533	0	1	1	0
-1.139e-05	2.761579326329533	0	1	1	0
-1.138e-05	2.761579326329533	0	1	1	0
-1.137e-05	2.761579326329533	0	1	1	0
-1.136e-05	2.761579326329533	0	1	1	0
-1.135e-05	2.761579326329533	0	1	1	0
-1.134e-05	2.761579326329533	0	1	1	0
-1.133e-05	2.761579326329533	0	1	1	0
-1.132e-05	2.761579326329533	0	1	1	0
-1.131e-05	2.761579326329533	0	1	1	0
-1.13e-05	2.761579326329533	0	1	1	0
-1.129e-05	2.761579326329533	0	1	1	0
-1.128e-05	2.761579326329533	0	1	1	0
-1.127e-05	2.761579326329533	0	1	1	0
-1.126e-05	2.761579326329533	0	1	1	0
-1.125e-05	2.761579326329533	0	1	1	0
-1.124e-05	2.761579326329533	0	1	1	0
-1.123e-05	2.761579326329533	0	1	1	0
-1.122e-05	2.761579326329533	0	1	1	0
-1.121e-05	2.761579326329533	0	1	1	0
-1.12e-05	2.761579326329533	0	1	1	0
-1.119e-05	2.761579326329533	0	1	1	0
-1.118e-05	2.761579326329533	0	1	1	0
-1.117e-05	2.761579326329533	0	1	1	0
-1.116e-05	2.761579326329533	0	1	1	0
-1.115e-05	2.761579326329533	0	1	1	0
-1.114e-05	2.761579326329533	0	1	1	0
-1.113e-05	2.761579326329533	0	1	1	0
-1.112e-05	2.761579326329533	0	1	1	0
-1.111e-05	2.761579326329533	0	1	1	0
-1.11e-05	2.761579326329533	0	1	1	0
-1.109e-05	2.761579326329533	0	1	1	0
-1.108e-05	2.761579326329533	0	1	1	0
-1.107e-05	2.761579326329533	0	1	1	0
-1.106e-05	2.761579326329533	0	1	1	0
-1.105e-05	2.761579326329533	0	1	1	0
-1.104e-05	2.761579326329533	0	1	1	0
-1.103e-05	2.761579326329533	0	1	1	0
-1.102e-05	2.761579326329533	0	1	1	0
-1.101e-05	2.761579326329533	0	1	1	0
-1.1e-05	2.761579326329533	0	1	1	0
-1.099e-05	2.761579326329533	0	1	1	0
-1.098e-05	2.761579326329533	0	1	1	0
-1.097e-05	2.761579326329533	0	1	1	0
-1.096e-05	2.761579326329533	0	1	1	0
-1.095e-05	2.761579326329533	0	1	1	0
-1.094e-05	2.761579326329533	0	1	1	0
-1.093e-05	2.761579326329533	0	1	1	0
-1.092e-05	2.761579326329533	0	1	1	0
-1.091e-05	2.761579326329533	0	1	1	0
-1.09e-05	2.761579326329533	0	1	1	0
-1.089e-05	2.761579326329533	0	1	1	0
-1.088e-05	2.761579326329533	0	1	1	0
-1.087e-05	2.761579326329533	0	1	1	0
-1.086e-05	2.761579326329533	0	1	1	0
-1.085e-05	2.761579326329533	0	1	1	0
-1.084e-05	2.761579326329533	0	1	1	0
-1.083e-05	2.761579326329533	0	1	1	0
-1.082e-05	2.761579326329533	0	1	1	0
-1.081e-05	2.761579326329533	0	1	1	0
-1.08e-05	2.761579326329533	0	1	1	0
-1.079e-05	2.761579326329533	0	1	1	0
-1.078e-05	2.761579326329533	0	1	1	0
-1.077e-05	2.761579326329533	0	1	1	0
-1.076e-05	2.761579326329533	0	1	1	0
-1.075e-05	2.761579326329533	0	1	1	0
-1.074e-05	2.761579326329533	0	1	1	0
-1.073e-05	2.761579326329533	0	1	1	0
-1.072e-05	2.761579326329533	0	1	1	0
-1.071e-05	2.761579326329533	0	1	1	0
-1.07e-05	2.761579326329533	0	1	1	0
-1.069e-05	2.761579326329533	0	1	1	0
-1.068e-05	2.761579326329533	0	1	1	0
-1.067e-05	2.761579326329533	0	1	1	0
-1.066e-05	2.761579326329533	0	1	1	0
-1.065e-05	2.761579326329533	0	1	1	0
-1.064e-05	2.761579326329533	0	1	1	0
-1.063e-05	2.761579326329533	0	1	1	0
-1.062e-05	2.761579326329533	0	1	1	0
-1.061e-05	2.761579326329533	0	1	1	0
-1.06e-05	2.761579326329533	0	1	1	0
-1.059e-05	2.761579326329533	0	1	1	0
-1.058e-05	2.761579326329533	0	1	1	0
-1.057e-05	2.761579326329533	0	1	1	0
-1.056e-05	2.761579326329533	0	1	1	0
-1.055e-05	2.761579326329533	0	1	1	0
-1.054e-05	2.761579326329533	0	1	1	0
-1.053e-05	2.761579326329533	0	1	1	0
-1.052e-05	2.761579326329533	0	1	1	0
-1.051e-05	2.761579326329533	0	1	1	0
-1.05e-05	2.761579326329533	0	1	1	0
-1.049e-05	2.761579326329533	0	1	1	0
-1.048e-05	2.761579326329533	0	1	1	0
-1.047e-05	2.761579326329533	0	1	1	0
-1.046e-05	2.761579326329533	0	1	1	0
-1.045e-05	2.761579326329533	0	1	1	0
-1.044e-05	2.761579326329533	0	1	1	0
-1.043e-05	2.761579326329533	0	1	1	0
-1.042e-05	2.761579326329533	0	1	1	0
-1.041e-05	2.761579326329533	0	1	1	0
-1.04e-05	2.761579326329533	0	1	1	0
-1.039e-05	2.761579326329533	0	1	1	0
-1.038e-05	2.761579326329533	0	1	1	0
-1.037e-05	2.761579326329533	0	1	1	0
-1.036e-05	2.761579326329533	0	1	1	0
-1.035e-05	2.761579326329533	0	1	1	0
-1.034e-05	2.761579326329533	0	1	1	0
-1.033e-05	2.761579326329533	0	1	1	0
-1.032e-05	2.761579326329533	0	1	1	0
-1.031e-05	2.761579326329533	0	1	1	0
-1.03e-05	2.761579326329533	0	1	1	0
-1.029e-05	2.761579326329533	0	1	1	0
-1.028e-05	2.761579326329533	0	1	1	0
-1.027e-05	2.761579326329533	0	1	1	0
-1.026e-05	2.761579326329533	0	1	1	0
-1.025e-05	2.761579326329533	0	1	1	0
-1.024e-05	2.761579326329533	0	1	1	0
-1.023e-05	2.761579326329533	0	1	1	0
-1.022e-05	2.761579326329533	0	1	1	0
-1.021e-05	2.761579326329533	0	1	1	0
-1.02e-05	2.761579326329533	0	1	1	0
-1.019e-05	2.761579326329533	0	1	1	0
-1.018e-05	2.761579326329533	0	1	1	0
-1.017e-05	2.761579326329533	0	1	1	0
-1.016e-05	2.761579326329533	0	1	1	0
-1.015e-05	2.761579326329533	0	1	1	0
-1.014e-05	2.761579326329533	0	1	1	0
-1.013e-05	2.761579326329533	0	1	1	0
-1.012e-05	2.761579326329533	0	1	1	0
-1.011e-05	2.761579326329533	0	1	1	0
-1.01e-05	2.761579326329533	0	1	1	0
-1.009e-05	2.761579326329533	0	1	1	0
-1.008e-05	2.761579326329533	0	1	1	0
-1.007e-05	2.761579326329533	0	1	1	0
-1.006e-05	2.761579326329533	0	1	1	0
-1.005e-05	2.761579326329533	0	1	1	0
-1.004e-05	2.761579326329533	0	1	1	0
-1.003e-05	2.761579326329533	0	1	1	0
-1.002e-05	2.761579326329533	0	1	1	0
-1.001e-05	2.761579326329533	0	1	1	0
-1e-05	2.761579326329533	0	1	1	0
-9.989999999999999e-06	2.761579326329533	0	1	1	0
-9.979999999999999e-06	2.761579326329533	0	1	1	0
-9.969999999999999e-06	2.761579326329533	0	1	1	0
-9.96e-06	2.761579326329533	0	1	1	0
-9.95e-06	2.761579326329533	0	1	1	0
-9.94e-06	2.761579326329533	0	1	1	0
-9.93e-06	2.761579326329533	0	1	1	0
-9.92e-06	2.761579326329533	0	1	1	0
-9.91e-06	2.761579326329533	0	1	1	0
-9.9e-06	2.761579326329533	0	1	1	0
-9.89e-06	2.761579326329533	0	1	1	0
-9.88e-06	2.761579326329533	0	1	1	0
-9.87e-06	2.761579326329533	0	1	1	0
-9.86e-06	2.761579326329533	0	1	1	0
-9.850000000000001e-06	2.761579326329533	0	1	1	0
-9.840000000000001e-06	2.761579326329533	0	1	1	0
-9.830000000000001e-06	2.761579326329533	0	1	1	0
-9.819999999999999e-06	2.761579326329533	0	1	1	0
-9.809999999999999e-06	2.761579326329533	0	1	1	0
-9.799999999999999e-06	2.761579326329533	0	1	1	0
-9.789999999999999e-06	2.761579326329533	0	1	1	0
-9.78e-06	2.761579326329533	0	1	1	0
-9.77e-06	2.761579326329533	0	1	1	0
-9.76e-06	2.761579326329533	0	1	1	0
-9.75e-06	2.761579326329533	0	1	1	0
-9.74e-06	2.761579326329533	0	1	1	0
-9.73e-06	2.761579326329533	0	1	1	0
-9.72e-06	2.761579326329533	0	1	1	0
-9.71e-06	2.761579326329533	0	1	1	0
-9.7e-06	2.761579326329533	0	1	1	0
-9.69e-06	2.761579326329533	0	1	1	0
-9.68e-06	2.761579326329533	0	1	1	0
-9.670000000000001e-06	2.761579326329533	0	1	1	0
-9.660000000000001e-06	2.761579326329533	0	1	1	0
-9.650000000000001e-06	2.761579326329533	0	1	1	0
-9.639999999999999e-06	2.761579326329533	0	1	1	0
-9.629999999999999e-06	2.761579326329533	0	1	1	0
-9.619999999999999e-06	2.761579326329533	0	1	1	0
-9.609999999999999e-06	2.761579326329533	0	1	1	0
-9.6e-06	2.761579326329533	0	1	1	0
-9.59e-06	2.761579326329533	0	1	1	0
-9.58e-06	2.761579326329533	0	1	1	0
-9.57e-06	2.761579326329533	0	1	1	0
-9.56e-06	2.761579326329533	0	1	1	0
-9.55e-06	2.761579326329533	0	1	1	0
-9.54e-06	2.761579326329533	0	1	1	0
-9.53e-06	2.761579326329533	0	1	1	0
-9.52e-06	2.761579326329533	0	1	1	0
-9.51e-06	2.761579326329533	0	1	1	0
-9.500000000000001e-06	2.761579326329533	0	1	1	0
-9.490000000000001e-06	2.761579326329533	0	1	1	0
-9.480000000000001e-06	2.761579326329533	0	1	1	0
-9.470000000000001e-06	2.761579326329533	0	1	1	0
-9.459999999999999e-06	2.761579326329533	0	1	1	0
-9.449999999999999e-06	2.761579326329533	0	1	1	0
-9.439999999999999e-06	2.761579326329533	0	1	1	0
-9.429999999999999e-06	2.761579326329533	0	1	1	0
-9.42e-06	2.761579326329533	0	1	1	0
-9.41e-06	2.761579326329533	0	1	1	0
-9.4e-06	2.761579326329533	0	1	1	0
-9.39e-06	2.761579326329533	0	1	1	0
-9.38e-06	2.761579326329533	0	1	1	0
-9.37e-06	2.761579326329533	0	1	1	0
-9.36e-06	2.761579326329533	0	1	1	0
-9.35e-06	2.761579326329533	0	1	1	0
-9.34e-06	2.761579326329533	0	1	1	0
-9.33e-06	2.761579326329533	0	1	1	0
-9.320000000000001e-06	2.761579326329533	0	1	1	0
-9.310000000000001e-06	2.761579326329533	0	1	1	0
-9.300000000000001e-06	2.761579326329533	0	1	1	0
-9.290000000000001e-06	2.761579326329533	0	1	1	0
-9.279999999999999e-06	2.761579326329533	0	1	1	0
-9.269999999999999e-06	2.761579326329533	0	1	1	0
-9.259999999999999e-06	2.761579326329533	0	1	1	0
-9.25e-06	2.761579326329533	0	1	1	0
-9.24e-06	2.761579326329533	0	1	1	0
-9.23e-06	2.761579326329533	0	1	1	0
-9.22e-06	2.761579326329533	0	1	1	0
-9.21e-06	2.761579326329533	0	1	1	0
-9.2e-06	2.761579326329533	0	1	1	0
-9.19e-06	2.761579326329533	0	1	1	0
-9.18e-06	2.761579326329533	0	1	1	0
-9.17e-06	2.761579326329533	0	1	1	0
-9.16e-06	2.761579326329533	0	1	1	0
-9.15e-06	2.761579326329533	0	1	1	0
-9.140000000000001e-06	2.761579326329533	0	1	1	0
-9.130000000000001e-06	2.761579326329533	0	1	1	0
-9.120000000000001e-06	2.761579326329533	0	1	1	0
-9.109999999999999e-06	2.761579326329533	0	1	1	0
-9.099999999999999e-06	2.761579326329533	0	1	1	0
-9.089999999999999e-06	2.761579326329533	0	1	1	0
-9.079999999999999e-06	2.761579326329533	0	1	1	0
-9.07e-06	2.761579326329533	0	1	1	0
-9.06e-06	2.761579326329533	0	1	1	0
-9.05e-06	2.761579326329533	0	1	1	0
-9.04e-06	2.761579326329533	0	1	1	0
-9.03e-06	2.761579326329533	0	1	1	0
-9.02e-06	2.761579326329533	0	1	1	0
-9.01e-06	2.761579326329533	0	1	1	0
-9e-06	2.761579326329533	0	1	1	0
-8.99e-06	2.761579326329533	0	1	1	0
-8.98e-06	2.761579326329533	0	1	1	0
-8.970000000000001e-06	2.761579326329533	0	1	1	0
-8.960000000000001e-06	2.761579326329533	0	1	1	0
-8.950000000000001e-06	2.761579326329533	0	1	1	0
-8.940000000000001e-06	2.761579326329533	0	1	1	0
-8.929999999999999e-06	2.761579326329533	0	1	1	0
-8.919999999999999e-06	2.761579326329533	0	1	1	0
-8.909999999999999e-06	2.761579326329533	0	1	1	0
-8.899999999999999e-06	2.761579326329533	0	1	1	0
-8.89e-06	2.761579326329533	0	1	1	0
-8.88e-06	2.761579326329533	0	1	1	0
-8.87e-06	2.761579326329533	0	1	1	0
-8.86e-06	2.761579326329533	0	1	1	0
-8.85e-06	2.761579326329533	0	1	1	0
-8.84e-06	2.761579326329533	0	1	1	0
-8.83e-06	2.761579326329533	0	1	1	0
-8.82e-06	2.761579326329533	0	1	1	0
-8.81e-06	2.761579326329533	0	1	1	0
-8.8e-06	2.761579326329533	0	1	1	0
-8.790000000000001e-06	2.761579326329533	0	1	1	0
-8.780000000000001e-06	2.761579326329533	0	1	1	0
-8.770000000000001e-06	2.761579326329533	0	1	1	0
-8.760000000000001e-06	2.761579326329533	0	1	1	0
-8.749999999999999e-06	2.761579326329533	0	1	1	0
-8.739999999999999e-06	2.761579326329533	0	1	1	0
-8.729999999999999e-06	2.761579326329533	0	1	1	0
-8.72e-06	2.761579326329533	0	1	1	0
-8.71e-06	2.761579326329533	0	1	1	0
-8.7e-06	2.761579326329533	0	1	1	0
-8.69e-06	2.761579326329533	0	1	1	0
-8.68e-06	2.761579326329533	0	1	1	0
